,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Novy Urengoy,66.08,76.63,50.77,78,100,25.21,RU,07/16/2020
1,Ribeira Grande,38.52,-28.7,68.68,80,89,4.32,PT,07/16/2020
2,Ponta Delgada,37.73,-25.67,68.0,72,75,8.05,PT,07/16/2020
3,Rikitea,-23.12,-134.97,74.07,87,100,6.85,PF,07/16/2020
4,Voyvozh,62.89,54.96,55.18,96,100,7.85,RU,07/16/2020
5,Cabo San Lucas,22.89,-109.91,86.0,55,5,11.41,MX,07/16/2020
6,Ushuaia,-54.8,-68.3,26.6,86,20,3.36,AR,07/16/2020
7,Barrow,71.29,-156.79,44.6,70,1,10.29,US,07/16/2020
8,Kostomuksha,64.57,30.58,49.82,84,57,3.6,RU,07/16/2020
9,La Ronge,55.1,-105.28,64.4,68,75,16.11,CA,07/16/2020
10,Clyde River,70.47,-68.59,62.6,42,1,6.93,CA,07/16/2020
11,Quatre Cocos,-20.21,57.76,68.0,88,75,2.24,MU,07/16/2020
12,Porto Empedocle,37.29,13.53,66.99,1,0,6.29,IT,07/16/2020
13,Hermanus,-34.42,19.23,42.01,86,0,4.0,ZA,07/16/2020
14,Port Lincoln,-34.73,135.87,58.42,70,0,8.95,AU,07/16/2020
15,Agadez,19.75,10.25,85.03,14,0,9.42,NE,07/16/2020
16,Avarua,-21.21,-159.78,73.4,60,93,9.17,CK,07/16/2020
17,Sola,-13.88,167.55,79.38,84,100,13.8,VU,07/16/2020
18,Olafsvik,64.89,-23.71,50.9,92,100,16.6,IS,07/16/2020
19,San Cristobal,7.77,-72.22,65.93,92,74,2.86,VE,07/16/2020
20,Punta Arenas,-53.15,-70.92,32.0,95,7,4.7,CL,07/16/2020
21,Hobyo,5.35,48.53,78.94,73,94,18.79,SO,07/16/2020
22,Rocha,-34.48,-54.33,38.43,78,0,5.08,UY,07/16/2020
23,Chamba,32.57,76.13,78.53,58,1,4.18,IN,07/16/2020
24,Dikson,73.51,80.55,40.28,97,100,4.61,RU,07/16/2020
25,Lingao,19.91,109.69,91.54,49,100,2.95,CN,07/16/2020
26,Coolum Beach,-26.53,153.1,66.99,39,0,8.01,AU,07/16/2020
27,Margate,51.38,1.39,61.0,93,99,1.99,GB,07/16/2020
28,Caravelas,-17.71,-39.25,71.42,87,45,11.32,BR,07/16/2020
29,Atuona,-9.8,-139.03,79.68,76,2,16.37,PF,07/16/2020
30,Thompson,55.74,-97.86,62.6,88,75,11.41,CA,07/16/2020
31,Arraial do Cabo,-22.97,-42.03,66.99,72,96,5.55,BR,07/16/2020
32,Albany,42.6,-73.97,75.0,86,56,6.4,US,07/16/2020
33,Busselton,-33.65,115.33,63.0,83,12,23.8,AU,07/16/2020
34,Linkou,45.3,130.28,82.89,62,0,3.85,CN,07/16/2020
35,Fortuna,40.6,-124.16,63.0,72,20,8.05,US,07/16/2020
36,Bredasdorp,-34.53,20.04,37.4,93,0,1.12,ZA,07/16/2020
37,Vaini,-21.2,-175.2,78.8,69,75,10.29,TO,07/16/2020
38,Najrān,17.49,44.13,89.6,25,75,11.41,SA,07/16/2020
39,Mehamn,71.04,27.85,50.0,93,63,2.24,NO,07/16/2020
40,Bambous Virieux,-20.34,57.76,68.0,88,75,2.24,MU,07/16/2020
41,Puerto Escondido,15.85,-97.07,80.96,76,31,2.21,MX,07/16/2020
42,Poum,-20.23,164.02,70.83,62,0,15.75,NC,07/16/2020
43,Comodoro Rivadavia,-45.87,-67.5,37.4,69,75,4.7,AR,07/16/2020
44,Zhigansk,66.77,123.37,72.01,49,36,3.53,RU,07/16/2020
45,Hilo,19.73,-155.09,82.4,61,40,8.05,US,07/16/2020
46,Flinders,-34.58,150.86,61.0,64,94,8.99,AU,07/16/2020
47,Longyearbyen,78.22,15.64,44.6,81,75,3.36,SJ,07/16/2020
48,Ponta do Sol,32.67,-17.1,69.8,68,40,11.41,PT,07/16/2020
49,Sobolevo,54.43,31.9,51.3,93,100,10.42,RU,07/16/2020
50,Mataura,-46.19,168.86,45.9,73,26,3.42,NZ,07/16/2020
51,Saint-Philippe,-21.36,55.77,64.4,72,32,5.82,RE,07/16/2020
52,Jalu,29.03,21.55,74.08,51,0,7.83,LY,07/16/2020
53,Deep River,46.1,-77.5,73.4,56,75,8.72,CA,07/16/2020
54,New Norfolk,-42.78,147.06,52.0,84,99,1.01,AU,07/16/2020
55,Ziro,27.63,93.83,65.26,100,100,1.19,IN,07/16/2020
56,Kurumkan,54.3,110.3,67.82,77,100,6.22,RU,07/16/2020
57,Lichuan,30.3,108.85,70.14,96,100,2.82,CN,07/16/2020
58,Necochea,-38.55,-58.74,39.99,81,1,5.99,AR,07/16/2020
59,Khani,41.96,42.96,69.8,94,75,2.24,GE,07/16/2020
